color_code,n_entries,pct_entries,n_khipus,pct_khipus
AB(0.0-15.5)/RL,2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-6.75)/MB(6.75-17.5),2,0.0026226756537019065,2,0.2820874471086037
BB(0.0-4.5)/W(4.5-45.5),2,0.0026226756537019065,1,0.14104372355430184
HB(0.0-12.5)/KB(12.5-40.5),2,0.0026226756537019065,1,0.14104372355430184
RB-YG,2,0.0026226756537019065,1,0.14104372355430184
RL-NB,2,0.0026226756537019065,1,0.14104372355430184
MB(0.0-7.0)/W(7.0-37.0),2,0.0026226756537019065,1,0.14104372355430184
MB(0.0-6.0)/W(6.0-31.0),2,0.0026226756537019065,1,0.14104372355430184
KB(5.0-7.0)/KB(7.0-34.5),2,0.0026226756537019065,1,0.14104372355430184
DB(5.0-7.0)/BS(7.0-32.0),2,0.0026226756537019065,1,0.14104372355430184
KB(2.0-42.0),2,0.0026226756537019065,1,0.14104372355430184
DB(5.0-7.0)/BS(7.0-27.5),2,0.0026226756537019065,1,0.14104372355430184
FR(0.0-0.0)/AB(0.0-0.0),2,0.0026226756537019065,1,0.14104372355430184
RL(0.0-0.0),2,0.0026226756537019065,1,0.14104372355430184
RL%MG,2,0.0026226756537019065,1,0.14104372355430184
DB(5.0-7.0)/W(7.0-26.0),2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-3.0)/DB(3.0-16.5),2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-0.0)/YB,2,0.0026226756537019065,1,0.14104372355430184
W-G0,2,0.0026226756537019065,2,0.2820874471086037
AB(0.0-0.0)/HB(0.0-0.0),2,0.0026226756537019065,1,0.14104372355430184
AB(0.0-0.0)/MB(0.0-0.0)/AB(0.0-0.0),2,0.0026226756537019065,2,0.2820874471086037
DB(5.0-7.0)/W(7.0-28.5),2,0.0026226756537019065,1,0.14104372355430184
DB(5.0-7.0)/W(7.0-29.0),2,0.0026226756537019065,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-43.0),2,0.0026226756537019065,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-42.0),2,0.0026226756537019065,2,0.2820874471086037
SR(5.0-7.0)/W(7.0-31.0),2,0.0026226756537019065,2,0.2820874471086037
AB(0.0-9.5)/W,2,0.0026226756537019065,2,0.2820874471086037
AB(0.0-31.0)/SY,2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-9.5)/0G(9.5-23.5),2,0.0026226756537019065,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-40.0),2,0.0026226756537019065,1,0.14104372355430184
DB(5.0-7.0)/DB(7.0-36.0),2,0.0026226756537019065,1,0.14104372355430184
SR(5.0-7.0)/W(7.0-32.5),2,0.0026226756537019065,1,0.14104372355430184
AB(0.0-6.0)/YB(6.0-36.5),2,0.0026226756537019065,1,0.14104372355430184
AB(0.0-0.0)/LG(0.0-0.0),2,0.0026226756537019065,1,0.14104372355430184
KB(5.0-7.0)/KB(7.0-27.5),2,0.0026226756537019065,1,0.14104372355430184
DB(5.0-7.0)/DB(7.0-32.5),2,0.0026226756537019065,1,0.14104372355430184
SR(5.0-7.0)/W(7.0-35.5),2,0.0026226756537019065,2,0.2820874471086037
SR(5.0-7.0)/W(7.0-36.5),2,0.0026226756537019065,1,0.14104372355430184
MB(0.0-7.0)/W(7.0-33.0),2,0.0026226756537019065,1,0.14104372355430184
YB-BL,2,0.0026226756537019065,2,0.2820874471086037
W-YY,2,0.0026226756537019065,2,0.2820874471086037
SR(5.0-7.0)/W(7.0-37.0),2,0.0026226756537019065,2,0.2820874471086037
MB(0.0-7.0)/W(7.0-34.0),2,0.0026226756537019065,1,0.14104372355430184
SR(5.0-7.0)/W(7.0-37.5),2,0.0026226756537019065,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-48.0),2,0.0026226756537019065,1,0.14104372355430184
RL-LC,2,0.0026226756537019065,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-45.0),2,0.0026226756537019065,2,0.2820874471086037
MB(0.0-7.0)/W(7.0-19.0),2,0.0026226756537019065,2,0.2820874471086037
DB(5.0-7.0)/DB(7.0-28.0),2,0.0026226756537019065,1,0.14104372355430184
KB(5.0-7.0)/KB(7.0-30.5),2,0.0026226756537019065,1,0.14104372355430184
AB(0.0-7.5)/W,2,0.0026226756537019065,2,0.2820874471086037
MB(0.0-11.0)/AB,2,0.0026226756537019065,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-41.0),2,0.0026226756537019065,1,0.14104372355430184
SR(5.0-7.0)/W(7.0-32.0),2,0.0026226756537019065,1,0.14104372355430184
